,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet,team
0,1002253785635401728,2018-05-31 14:21:38,True,False,False,['https://t.co/0wKw0sSl6j'],1,0,0,"I just made a playlist on SoundCloud for Pride Month tommorow #PrideMonth 
#lgbt  #pride2018   
Listen to Pride Month by Robbie  Brewer  #np  on #SoundCloud https:// soundcloud.com/robbie-brewer- 318860589/sets/pride-month   …",/JanstarOnHigh/status/1002253785635401728,916695676301533185,JanstarOnHigh,brewers
1,1002595883891023872,2018-06-01 13:01:00,,False,False,,4,0,1,"We continue to celebrate #PrideMonth  with the next release of our  Brewer 's Day Off Series on June 15th. Get excited for ""We Just Want to Have Fun"", which is a wheat ale featuring edible glitter! 

For more information, join the Facebook release event page:  http:// bit.ly/2JkOsX2   pic.twitter.com/vVvzk2Jr5r",/MKEbrewco/status/1002595883891023872,23034309,MKEbrewco,brewers
2,1003719886818955264,2018-06-04 15:27:23,,False,False,,0,0,0,@ Brewers  Pride shirt #PrideMonth  #Pride2018  #BiPride pic.twitter.com/iBZcyVO8Sz,/ktsthegame/status/1003719886818955264,22359597,ktsthegame,brewers
3,1004016457901072384,2018-06-05 11:05:51,,False,False,,51,1,23,"For #PrideMonth  we have new exhibit at @IllinoisLibrary 's Marshall Gallery called ""Out of the Closet & Onto the Stacks"" highlighting the history of @GLBTRT , curated by grad assist Sarah  Brewer . Not at UIUC? Then read this accompanying blog post!  https:// bit.ly/2kObMyn   pic.twitter.com/xKDtyoqfiu",/ALA_Archives/status/1004016457901072384,2842632910,ALA_Archives,brewers
4,1004133809846128640,2018-06-05 18:52:10,,False,False,,1,0,0,"RT ALALibrary ""RT ALA_Archives: For #PrideMonth  we have new exhibit at IllinoisLibrary's Marshall Gallery called ""Out of the Closet & Onto the Stacks"" highlighting the history of GLBTRT, curated by grad assist Sarah  Brewer . Not at UIUC? Then read thi…  pic.twitter.com/Zkx0lt2e0M """,/FOBPL/status/1004133809846128640,748583740905918464,FOBPL,brewers
5,1004784946072911872,2018-06-07 13:59:33,True,False,False,['https://t.co/ZlesnggQjQ'],10,3,8,"Threes Brewing in Brooklyn, New York recently announced the release of a “gender neutral beer” called Gender Neutral. This is the second year in a row the  brewer  has released the beverage to commemorate Pride month.
 http:// qoo.ly/pxe8y   
#RateBeer  #ThreesBrewing  #PrideMonth",/ratebeer/status/1004784946072911872,13411472,ratebeer,brewers
6,1009469419951738885,2018-06-20 12:13:59,True,False,False,['https://t.co/L9hG4fEdng'],2,0,0,"Sports, but make it gay. My latest: @Brewers  pride night on Saturday means much more than a T-Shirt #PrideMonth   https:// sconniesportstalk.com/2018/06/20/mil waukee-brewers-pride-night-is-no-small-gesture/   …",/LukeSchaetzel/status/1009469419951738885,1214338987,LukeSchaetzel,brewers
7,1009942253232631808,2018-06-21 19:32:51,,False,False,,205,2,14,"I truly don’t think the @Brewers  know just how much this means to me, to the  LGBTQ  community, to major league sports.  pic.twitter.com/ZhoJXdnOnO",/rilydo/status/1009942253232631808,1149589080,rilydo,brewers
8,1009963838614265859,2018-06-21 20:58:38,,False,False,,2,0,0,"Thank you, @Brewers , for hosting #PrideNight  at Miller Park and supporting the  LGBTQ  community!   It’s safe to say the pre-game parade helped make my dad’s year. #400 #ThisIsMyCrew pic.twitter.com/QZqkA41ggw",/VivaLaAmy85/status/1009963838614265859,364542330,VivaLaAmy85,brewers
9,1009986225460121601,2018-06-21 22:27:35,,False,False,,0,0,0,I am glad the cardinals have forgotten how to pitch throw and catch tonight #Brewers  #PrideMonth,/wyldsmurf/status/1009986225460121601,3318278063,wyldsmurf,brewers
10,1010606695746359298,2018-06-23 15:33:07,,False,False,,1,0,0,# Pride2018  #PrideMonth  at the pride  brewer  gamer yesterday  @chandy_benatti  @oohkayjessicax4 pic.twitter.com/0u78sXzQiw,/_wickedradchick/status/1010606695746359298,3150944172,_wickedradchick,brewers
11,1019616481443639296,2018-07-18 12:14:47,True,True,False,['https://t.co/XMpwMxH5Uv'],0,0,0,"Hey Milwaukee Brewers and @MLB : Josh Hader is your employee. He's your brand, your community. Speak up. Loudly, so everyone can hear you.  https://www. thenewcivilrightsmovement.com/2018/07/all-st ar-pitcher-deletes-twitter-account-after-his-torrent-of-anti-gay-racist-misogynistic-tweets-are-exposed/   …  #JoshHader  #MLB  #LGBT  #LGBTQ  #Milwaukee  #Brewers  #AllStarGame",/nancylevine/status/1019616481443639296,27282113,nancylevine,brewers
