,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet,team
0,1134830561799954434,2019-06-01 10:34:24,,False,False,,6,1,2,"The next 9 days will be jam packed with incredible events, including today's #NightOUT  at @OldGloryDC , the 15th  Night OUT  at the  Nats  on Tuesday 6/4, the @DCFrontrunners  Pride Run 5K on Friday 6/7, and the @CapitalPrideDC  parade Saturday 5/8 and festival Sunday 5/9! #NightOUT2019",/queerfancystats/status/1134830561799954434,736744852080054274,queerfancystats,nationals
1,1134836738436632577,2019-06-01 10:58:57,,False,False,,13,1,3,"One more thing! The @Nationals  may be on the road today, but the Cincinnati @Reds  are celebrating #Pride  which means for today's game, my #QueerFancyStats  pledge counts 4x! Happy Pride Community Night, Reds twitter! If you get the commemorative hat, share pictures! pic.twitter.com/XKcetnpUqe",/queerfancystats/status/1134836738436632577,736744852080054274,queerfancystats,nationals
2,1134845365201584128,2019-06-01 11:33:14,,False,False,,0,0,0,This week in the @WashBlade  - @TeamDCSports  and @Nationals  celebrate the 15th anniversary of  Night OUT  at the  Nationals  #PrideMonth  #Pride2019  #baseball  @MLB   https://www. washingtonblade.com/2019/06/01/nig ht-out-at-the-nationals-to-celebrate-15-years/   … pic.twitter.com/5YreR5SbQR,/sportinindc/status/1134845365201584128,1485571405,sportinindc,nationals
3,1134849551511281664,2019-06-01 11:49:52,,True,False,,1,0,0,My wife taught her last decade at Mountain Gap in Huntsville. All of the teachers at the school have watched her with great  pride  starting in fifth grade when she made her first trip to the  nationals  (8th grade now). Great kid who earned her way to the contest.,/etheridgea/status/1134849551511281664,60177945,etheridgea,nationals
4,1134855979676422144,2019-06-01 12:15:24,,False,False,,3,0,0,"Stand with the  LGBTQ  community #PrideMonth 
And of course the @Nationals   pic.twitter.com/S7fuBxgmBp",/TomAtkin82/status/1134855979676422144,2716841474,TomAtkin82,nationals
5,1134867282038001664,2019-06-01 13:00:19,True,False,False,['https://t.co/gatxQIjlaR'],10,0,2,Night OUT  at the @Nationals  to celebrate 15 years @TeamDCSports http:// ow.ly/EuvS50uunBG  ,/WashBlade/status/1134867282038001664,19918986,WashBlade,nationals
6,1134871165908979712,2019-06-01 13:15:45,,False,False,,461,21,61,This Tuesday the @Nationals  are hosting their annual  Night OUT . We’d love to see you all there supporting the Nats and all the local groups like @SMYALDMV  who work so hard to build safe and inclusive spaces for LGBTQ young people in DC. Buy tix here:  https://www. mlb.com/nationals/tick ets/promotions/themes/night-out   … pic.twitter.com/u1iEY71Z7Y,/EireannDolan/status/1134871165908979712,293748355,EireannDolan,nationals
7,1134875742100234240,2019-06-01 13:33:56,,True,False,,1,0,0,Got my Curly W  Pride  shirt all ready!,/PippiNatTalking/status/1134875742100234240,941842825431388160,PippiNatTalking,nationals
8,1134879597135314997,2019-06-01 13:49:15,,False,False,,11,0,0,"So incredibly proud of the achievements of @UoBSwimming  this season, commitment, teamwork,passion, pride ,respect. Outcome 13 swimmers from 2 squads qualifying for summer  Nationals  and many more so close to qualifying who worked so hard and made this a team effort. Well done TEAM!!",/Garyhumpage1/status/1134879597135314997,571925551,Garyhumpage1,nationals
9,1134881066186158082,2019-06-01 13:55:05,,True,False,,3,1,0,Miss you!! It’s not a  pride  game without the Galloways/Coopers,/EireannDolan/status/1134881066186158082,293748355,EireannDolan,nationals
10,1134881129310445568,2019-06-01 13:55:20,,False,False,,2,0,0,this is insane... last year this transgender woman was a man and placed in  Nationals . Now he’s a woman & is competing against national born females. I’m  LGBTQ  friendly but this is too far...  https:// twitter.com/FPUniversity/s tatus/1132661234464108544   …,/kendall_kowen/status/1134881129310445568,1730198940,kendall_kowen,nationals
11,1134883818719068160,2019-06-01 14:06:02,,False,False,,0,0,0,"“Our Dance of Revolution” is a preservation of the history of Black  LGBTQ  activism in Toronto, which had many Jamaicans and other Caribbean  nationals  in the vanguard, and also addresses the seeming erasure of this history.”  https:// anglescovered.blogspot.com/2019/06/docume ntary-preserves-history-of.html   …",/thepleasurediva/status/1134883818719068160,187295141,thepleasurediva,nationals
12,1134888595775528962,2019-06-01 14:25:01,,False,False,,5,1,4,"SMYAL will be celebrating Pride with the @Nationals  on Tuesday June 4th at #NightOut !

Join us for a night of community, love, and baseball! 
Don't forget to stop by the Community Village and say hi to the SMYAL table.

 http://www. nationals.com/nightout   

#dcpride  #pride  #onepursuit  #gonats pic.twitter.com/OikUKeeN4e",/SMYALDMV/status/1134888595775528962,128926547,SMYALDMV,nationals
13,1134889018208923649,2019-06-01 14:26:41,,True,False,,2,0,0,"We'll be missing at the @Athletics   pride  night tonight, but happy to see you are bringing the party to the Nats!  pic.twitter.com/jp01BkYIsa",/mhburchard/status/1134889018208923649,207331768,mhburchard,nationals
14,1134895301377036288,2019-06-01 14:51:39,,True,False,,0,0,0,"Support to all from Senegal! Happy  Pride  to everyone! 
We should all celebrate each one of us being affirmed for who we are!",/ayitikarlitos/status/1134895301377036288,19838220,ayitikarlitos,nationals
15,1134925152570040321,2019-06-01 16:50:16,,True,False,,9,0,0," We will be cheering you on at the  Nats   Night OUT  next Tuesday.

...Maybe you can convince one of the #DCU  players down the street to join you and donate one of their Pride jerseys. Our Pride Night is June 26th @AudiField  vs Orlando SC",/unitednightout/status/1134925152570040321,3331755028,unitednightout,nationals
16,1134933701815603201,2019-06-01 17:24:15,True,False,False,['https://t.co/cDL9940XMw'],5,0,1,"The 15th annual #NightOUT  at the  Nats  game is this coming Tuesday, June 4! If you haven't bought tickets yet, you can do so now at  http:// nationals.com/nightout   . We can't wait to see you *OUT* at the ballpark! #NightOUT2019  #Pride",/queerfancystats/status/1134933701815603201,736744852080054274,queerfancystats,nationals
17,1134952450102833154,2019-06-01 18:38:45,,False,False,,1,4,0,"Nats  broadcast promoting their #Pride  night like they have many times before.

Has the Reds broadcast said anything about it today? ",/churchofbasebal/status/1134952450102833154,88241769,churchofbasebal,nationals
18,1134958678573015041,2019-06-01 19:03:30,,False,False,,42,7,6,"This is the  Nationals  closer. He's celebrating the Reds  Pride  Day more than the Reds are. Why couldn't the Reds organization manage **one** tweet or other statement like this? No mention in the stadium or by the TV broadcast. In 2019, disgraceful.  https:// twitter.com/whatwouldDOOdo /status/1134884408794714112   …",/spmancuso/status/1134958678573015041,38671446,spmancuso,nationals
