,team,tweet_grade,tweet,bubble_size
0,angels,1,5,100
1,angels,2,12,240
2,angels,3,39,780
3,angels,4,38,760
4,angels,5,47,940
5,athletics,1,4,80
6,athletics,2,29,580
7,athletics,3,124,2480
8,athletics,4,274,5480
9,athletics,5,287,5740
10,bluejays,1,6,120
11,bluejays,2,32,640
12,bluejays,3,46,920
13,bluejays,4,230,4600
14,bluejays,5,346,6920
15,braves,1,18,360
16,braves,2,28,560
17,braves,3,44,880
18,braves,4,62,1240
19,braves,5,148,2960
20,brewers,1,8,160
21,brewers,2,12,240
22,brewers,3,30,600
23,brewers,4,81,1620
24,brewers,5,73,1460
25,cardinals,1,20,400
26,cardinals,2,33,660
27,cardinals,3,48,960
28,cardinals,4,87,1740
29,cardinals,5,95,1900
30,cubs,1,34,680
31,cubs,2,46,920
32,cubs,3,106,2120
33,cubs,4,70,1400
34,cubs,5,117,2340
35,dbacks,1,9,180
36,dbacks,2,19,380
37,dbacks,3,25,500
38,dbacks,4,26,520
39,dbacks,5,36,720
40,dodgers,1,52,1040
41,dodgers,2,66,1320
42,dodgers,3,80,1600
43,dodgers,4,177,3540
44,dodgers,5,226,4520
45,giants,1,10,200
46,giants,2,20,400
47,giants,3,39,780
48,giants,4,43,860
49,giants,5,63,1260
50,mariners,1,6,120
51,mariners,2,44,880
52,mariners,3,76,1520
53,mariners,4,201,4020
54,mariners,5,250,5000
55,marlins,1,36,720
56,marlins,2,64,1280
57,marlins,3,66,1320
58,marlins,4,53,1060
59,marlins,5,54,1080
60,mets,1,25,500
61,mets,2,49,980
62,mets,3,207,4140
63,mets,4,117,2340
64,mets,5,117,2340
70,nationals,1,10,200
71,nationals,2,40,800
72,nationals,3,161,3220
73,nationals,4,141,2820
74,nationals,5,218,4360
75,padres,1,11,220
76,padres,2,26,520
77,padres,3,40,800
78,padres,4,25,500
79,padres,5,33,660
80,phillies,1,23,460
81,phillies,2,46,920
82,phillies,3,208,4160
83,phillies,4,158,3160
84,phillies,5,155,3100
85,pirates,1,10,200
86,pirates,2,33,660
87,pirates,3,120,2400
88,pirates,4,69,1380
89,pirates,5,136,2720
90,rays,1,12,240
91,rays,2,12,240
92,rays,3,80,1600
93,rays,4,66,1320
94,rays,5,121,2420
95,reds,1,9,180
96,reds,2,15,300
97,reds,3,25,500
98,reds,4,67,1340
99,reds,5,78,1560
100,redsox,1,21,420
101,redsox,2,37,740
102,redsox,3,49,980
103,redsox,4,110,2200
104,redsox,5,108,2160
105,rockies,1,10,200
106,rockies,2,22,440
107,rockies,3,64,1280
108,rockies,4,56,1120
109,rockies,5,77,1540
110,royals,1,6,120
111,royals,2,10,200
112,royals,3,47,940
113,royals,4,63,1260
114,royals,5,66,1320
115,tigers,1,8,160
116,tigers,2,13,260
117,tigers,3,16,320
118,tigers,4,50,1000
119,tigers,5,94,1880
120,twins,2,2,40
121,twins,3,14,280
122,twins,4,26,520
123,twins,5,45,900
124,whitesox,1,4,80
125,whitesox,2,9,180
126,whitesox,3,31,620
127,whitesox,4,34,680
128,whitesox,5,36,720
129,yankees,1,9,180
130,yankees,2,15,300
131,yankees,3,94,1880
132,yankees,4,90,1800
133,yankees,5,62,1240
