Timestamp,Approximately how many games do you attend each season?,What is your favorite team?,Do you identify as LGBTQ+ ?,Did your favorite team host a Pride Night this season?,Did you attend Pride Night this season?,When planning future trips to the ballpark:,"If your team hosts a Pride Night,  what do you think of the promotion and production? [Advertising]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Pre-Game Activities]","If your team hosts a Pride Night,  what do you think of the promotion and production? [In-Game Entertainment/Features]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Promotional Items]",What is your overall impression of MLB Pride Night themes?,What is your favorite themed night or promotion to attend?
9/19/2019 22:26,43470,St. Louis Cardinals,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,They’re great ,I haven’t attended any 
9/19/2019 22:28,43626,Atlanta Braves,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I'm all for inclusion and hope it brings fans that might not otherwise attend.,"Star Wars Night, but themed nights don't really affect my attendance"
9/19/2019 22:29,43470,New York Yankees,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don’t care,Don’t know
9/19/2019 22:29,43470,St. Louis Cardinals,Yes,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Don't know/unaware of this feature,Just the right amount,Very cool,Bring your dog to the park.
9/19/2019 22:30,43470,Atlanta Braves,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I don’t care,I don’t care
9/19/2019 22:31,43470,Minnesota Twins,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,As a gay person any company or corporation that hosts pride events feel very forced and disingenuous,throwback night 
9/19/2019 22:32,43470,Houston Astros,Yes,No,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,The more the merrier,Bark in the Park
9/19/2019 22:34,43470,Los Angeles Angels,No,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Too political,Fan Appreciation Day
9/19/2019 22:35,43626,Pittsburgh Pirates,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Gimmicks just like every other nights,Free shirt friday
9/19/2019 22:35,None,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,It’s a good thing. People seem to get upset by Pride Night but in all honesty it’s just angry conservatives who are upset that the generations of LGBTQ+ members they’ve put down for decades finally get an opportunity to have a night for themselves. Good for the MLB.0,"None in particular, Bobblehead or player themed nights are cool!"
9/19/2019 22:35,43470,Minnesota Twins,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Very positive,"Cross-sport collabs (Twins x Timberwolves, for instance)"
9/19/2019 22:36,43626,Los Angeles Dodgers,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I love it. It's inclusive and my LGBTQ+ friends (though not baseball fans) feel seen and enjoy going to Pride Night.,Any bobblehead promos.
9/19/2019 22:36,43470,Washington Nationals,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don’t know ,None
9/19/2019 22:37,43470,New York Mets,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,"Did some, but not enough","Good start, but more could be done",Bark in the Park
9/19/2019 22:38,43626,Chicago Cubs,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,I'm very glad they are happening,Throwback uniform days
