,text
0,Hey @Angels  we are waiting...signed your loyal  LGBTQ  Fans  https:// twitter.com/outsports/stat us/1004461091194167296   …
1,"OMG @ANGELS  YESSSSS! Finally doing the thing. Really happy for fans  in the  LGBTQ  community who have been waiting for this. When tix go on sale, I’d love to buy a bunch of tix and give them out to ya’ll on me.  https:// twitter.com/bizballmaury/s tatus/1014153328068968448   …"
2,27-time #WorldSeries  Champions #NewYork  @Yankees  are the only @MLB  #team  to have never hosted or planned an #LGBTQ  #Pride  night or event. Other holdout @Angels  scheduled a #PrideNight  for 2019. https://www. cbsnews.com/news/new-york- yankees-are-set-to-become-only-mlb-team-not-to-host-lgbtq-pride-night/   …
3,Are you a woman? Do you like @Angels  baseball? Piss off Matt Vasdingdong and come join 50 Angel Fans and cheer on the team. WOMEN WELCOMED. DUDES WELCOMED.  LGBTQ  FAM WELCOME. LESSSS GOOOO  https:// twitter.com/OhItsRicardo_/ status/1020095929498546176   …
4,We're proud to join @MLB  in taking a stand against bullying & supporting  LGBTQ  youth as a part of #SpiritDay ! pic.twitter.com/Us3qRx5iz8
5,"# Angels  social media representative LITERALLY said ""proud"" ""supporting  LGBTQ  youth.""

This sexualizes children and attempts to normalize deviancy.

A baseball team has no business advancing social behavior propaganda, and should fire their offensively leftist politics pushers."
6,"Noticed the @Nationals  didn't mention "" LGBTQ  youth"" in their #SpiritDay  tweet, so I took a look around @MLB . * indicates purple avatar.
Explicit "" LGBTQ  youth"":
@Yankees 
@Orioles  *
@Indians  
@Athletics *
@Mariners *
@Angels 
@Braves *
@Mets *
@Cubs 
@Cardinals *
@Reds *
@Dbacks *
@SFGiants https:// twitter.com/Yankees/status /1052960328827510784   …"
7,"To quote @larrywilmore , ""saying the word gay doesn't make you gay, it's not like Beetlejuice."" I'm dismayed that my two favorite teams (Nats & BoSox) basically danced around the fact that #SpiritDay  is SPECIFICALLY to support  LGBTQ + youths."
8,"The Red Sox are what I'd call tier 1A. They QTd the MLB tweet (which explicitly stated "" LGBTQ  youth"") and linked to their #SpiritDay  partnership with @FenwayHealth . That's a lot more than most of the teams in the league. (And then there's the Astros.) https:// twitter.com/RedSox/status/ 1053005809066463232   …"
9,Huh?   LGBTQ  youth? Where are the parents?  Where are your bibles?  What does LQBTQ have to do with supporting bullying?  Please read what the bible says about supporting people that live in sin.  Living in sexual immorality is not good.  In God We Trust
10,"This is exactly why  LGBTQ  has to do with bullying.
People like you think you can dictate to others how to live because it says so in your book. You think you can push your beliefs on others because you feel superior to them.  That is what bullying is."
11,Everyone has their own beliefs. He doesn't support it. Also  LGBTQ  pushes their agendas on everyone else. I don't see you saying anything about them. I really don't care what people do with their lives but when they try to interject their beliefs into my life it becomes BS
12,LGBTQ  is fighting for equal rights. Not bullying others based on personal religious beliefs.
13,God gives all of us life and will judge us in death.  He gives all of us free will so each of us can make our own choices.  Some choose to ignore and bully all others with an  LGBTQ  agenda. America is equal.  The greedy groups want more and more. In God We Trust
14,Please stop cyber bullying me.  You are showing the world with your 10 replies who the real bully is and why  LGBTQ  agenda wants to bully all of us into giving  LGBTQ  more.  Equality is equality... not more.  I do not expect the Angels to have Christian night.  In God We Trust
15,UPDATED to reflect the date that the @Angels  will hold first-ever #Pride  Night: June 25 vs. @Reds  #SeeYouInAnaheim  #LGBTQ  #MLB   https://www. prideoc.com/event/pride-ni ght-angels/   … https:// twitter.com/outsports/stat us/1111360788000899072   …
16,"https:// groupmatics.events/event/Surfsun   

@Angels  first PRIDE night is happening!! Group sales link above, limited seats available! Pre game panel with MLB Ambassador @billybeanball  and #Angels  themed pride night hat included with ticket price! #angelspride  #outinthepark  #lgtb  #pridenight   pic.twitter.com/XdL784AuTj"
17,Aye @Angels  can y’all do this as well? #lgbtq   #LGBTNight https:// twitter.com/Dodgers/status /1134602976008450048   …
18,Hello @Angels  fans. The team is hosting its first  Pride  Night June 25th and I think you all should go. I unfortunately will be out of town BUT I would love to buy a pair of tix for two peeps in the LGBTQ+ community who want to attend! First two to reach out get em.  pic.twitter.com/gArVMhGfmM
19,And he pitches for team USA as well? Gotta love the  pride .
20,Dover  Pride
21,Dover  Pride
22,Dover  Pride
23,"There isnt much more annoying that the conversation of 4 drunk white guys at a @MLB  game.  Privilege, Misogyny, Racism, mixed with unfiltered  pride . @Angels"
24,"lightworker oracle & some astrology oracle cards. i really want the romance  angel  oracle deck  for tarot i got tattoo tarot, the  deviant  moon tarot, everyday tarot, & i just ordered this deck called mystic tarot."
25,"I am SO happy to see a resurgence in Good Omens fanart!
I’m sure I have one or two  angel /demon OCs, but all my old art is packed and stored in Moms basement. Maybe  Deviant  Art has some old stuff."
26,what a  angel
27,"Yeah, I agree, we don’t want to wake our little  angels .”"
28,"https:// music.youtube.com/watch?v=FAPned jKIWM   … 
Yeah a Djinn and an  Angel 
Not demons
You actually have to become a demon it’s not like a natural species it’s more an umbrella term for anything who’s mentality and form are completely  deviant  from their species in the averse"
29,I think your guardian  angel  tells you which card to pick
30,I feel an  Angel /Lil Papi thing brewing
31,DONT YOU DO THIS TO OUR  ANGEL !!!!!! YOU RESPECT HER!!!!!#PoseFX
32,I forgot  Angel  knows
33,Art by Tetsu89  Deviant  Art    pic.twitter.com/gFIPm8xWCE
34,Purchase a  Pride  Night ticket package and receive discounted pricing along with a themed Angels Hat! Join us in the Music Garden at 5:30 p.m. for a Pre-Game Panel Discussion with a legendary group of LGBTQ athletes and influencers. Visit  http:// angels.com/pridenight    for more details. pic.twitter.com/tOSXOKMY2k
35,"Darn midweek, gotta work!!   Will the hats be available for purchase on Angeis website? Proceeds could still go to OC  Pride !!"
36,"The @Angels  post about their  pride  night and their sweet hats. 

In the comments: BuT tHiNk Of ThE cHiLdReN!!!!  pic.twitter.com/SSty1xipqq"
37,They’re hosting a  Pride  night at the stadium
38,"I appreciate the  pride  night, why not distribute the promotional hat at the main entrance ?"
39,"Back from Cali with these, showing our @angels   pride ! Thank you @mathurtado  for doing my first tattoo and @crojasart  for doing  Brad’s! @blackanchorc #angels  #baseball  #california  #tattoo …  https://www. instagram.com/p/Byo0vdxlaueA mAfRy86S1brSeNtSQdZnvRWkgw0/?igshid=8fjr7136987j   …"
40,"Last time I checked the @Angels  are in the AL West, which is a division of the MLB. Remember,  pride  comes before a fall. Every team will have their good years and their bad years. The @Angels  bested the best team in baseball. #TheHaloWay pic.twitter.com/1EYP90QUpW"
41,Angels
42,Join us for the FIRST ever  Pride  Night with the @Angels ! #pride  #oc  #angelsstadium https:// twitter.com/Angels/status/ 1138868627183194112   …
43,Tonight is #PrideNight  @TropicanaField  as the @Angels  take on @RaysBaseball . pic.twitter.com/yBA1UHxKwA
44,"Pride  night!!!! (@ Tropicana Field - @raysbaseball  for @Angels  vs @RaysBaseball  in Saint Petersburg, FL w/ @mompobz  @mark_anthony_p )  https://www. swarmapp.com/c/dbgWud70rvK  "
45,With DJ Kitty at @RaysBaseball  vs. @Angels  for #Pride  Night at #TropicanaField .  #RaysUp pic.twitter.com/SuhEcLmjHy
46,"Pride  Night!   Go Rays! (@ Tropicana Field - @raysbaseball  for @Angels  vs @RaysBaseball  in Saint Petersburg, FL) https://www. swarmapp.com/c/hCdcyoFKb3L  "
47,@ Angels  are leading the @RaysBaseball  4-0 in the 6th. #pridenight  #TropicanaField   #LAAvsTB pic.twitter.com/AT6RLgRtFA
48,# Pride  Night at the @RaysBaseball  vs. @angels .  pic.twitter.com/ECw4RAwIox
