teams,Most_Negative,Moderate_Negative,Neutral,Moderate_Positive,Most_Positive
angels,5,12,39,38,47
athletics,4,29,124,274,287
bluejays,6,32,46,230,346
braves,18,28,44,62,148
brewers,8,12,30,81,73
cardinals,20,33,48,87,95
cubs,34,46,106,70,117
dbacks,9,19,25,26,36
dodgers,52,66,80,177,226
giants,10,20,39,43,63
mariners,6,44,76,201,250
marlins,36,64,66,53,54
mets,25,49,207,117,117
nationals,10,40,161,141,218
padres,11,26,40,25,33
phillies,23,46,208,158,155
pirates,10,33,120,69,136
rays,12,12,80,66,121
reds,9,15,25,67,78
redsox,21,37,49,110,108
rockies,10,22,64,56,77
royals,6,10,47,63,66
tigers,8,13,16,50,94
twins,1,2,14,26,45
whitesox,4,9,31,34,36
yankees,9,15,94,90,62
